book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,authors,original_publication_year,original_title,language_code,average_rating,ratings_count
28,7624,7624,2766512,458,140283331,William Golding,1954,Lord of the Flies ,eng,3.64,1605019
29,18135,18135,3349450,1937,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73,1628519
30,8442457,19288043,13306276,196,297859382,Gillian Flynn,2012,Gone Girl,eng,4.03,512475
31,4667024,4667024,4717423,183,399155341,Kathryn Stockett,2009,The Help,eng,4.45,1531753
32,890,890,40283,373,142000671,John Steinbeck,1937,Of Mice and Men ,eng,3.84,1467496
33,930,929,1558965,220,739326228,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209
34,10818853,10818853,15732562,169,1612130291,E.L. James,2011,Fifty Shades of Grey,eng,3.67,1338493
35,865,865,4835472,458,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng,3.82,1299566
36,3636,3636,2543234,192,385732554,Lois Lowry,1993,The Giver,eng,4.12,1296825
37,100915,100915,4790821,474,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4.19,1531800
38,14050,18619684,2153746,167,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287
39,13496,13496,1466917,101,553588486,George R.R. Martin,1996,A Game of Thrones,eng,4.45,1319204
40,19501,19501,3352398,185,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,1181647
41,28187,28187,3346751,159,786838655,Rick Riordan,2005,The Lightning Thief,eng,4.23,1366265
42,1934,1934,3244642,1707,451529308,Louisa May Alcott,1868,Little Women,en-US,4.04,1257121
43,10210,10210,2977639,2568,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557
44,15931,15931,1498135,190,553816713,Nicholas Sparks,1996,The Notebook,eng,4.06,1053403
45,4214,4214,1392700,264,770430074,Yann Martel,2001,Life of Pi,,3.88,1003228
46,43641,43641,3441236,128,1565125606,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146
47,19063,19063,878368,251,375831002,Markus Zusak,2005,The Book Thief,eng,4.36,1159741
48,4381,4381,1272463,507,307347974,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498
49,49041,49041,3203964,194,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630
50,30119,30119,30518,45,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888
51,256683,256683,2267189,178,1416914285,Cassandra Clare,2007,City of Bones,eng,4.12,1154031
52,428263,428263,2675454,185,316160202,Stephenie Meyer,2007,Eclipse,en-US,3.69,1134511
53,113436,113436,3178011,217,375826696,Christopher Paolini,2002,Eragon,en-US,3.86,1104021
54,11,386162,3078186,257,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.2,936782
55,5129,5129,3204877,515,60929871,Aldous Huxley,1932,Brave New World,eng,3.97,1022601
56,1162543,1162543,2960529,183,031606792X,Stephenie Meyer,2008,Breaking Dawn,en-US,3.7,1070245
57,37435,37435,3275013,125,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189
58,2956,2956,1835605,2277,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758
59,24178,24178,987048,180,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521
60,1618,1618,4259809,183,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553
61,22557272,22557272,41107568,14,1594633665,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778
62,119322,119322,1536771,287,679879242,Philip Pullman,1995,Northern Lights,eng,3.94,953970
63,6185,6185,1565818,2498,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195
64,10917,10917,1639903,125,743454537,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879
65,4981,4981,1683562,241,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,846488
66,18405,18405,3358283,409,446675539,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981
67,128029,128029,3271379,197,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742
68,22628,22628,2236198,128,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806
69,11735983,11735983,15524542,164,7442912,Veronica Roth,2012,Insurgent,eng,4.07,836362
70,375802,375802,2422333,224,812550706,Orson Scott Card,1985,Ender's Game,eng,4.3,813439
71,18490,18490,4836639,2618,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",eng,3.75,808589
72,11588,11588,849585,289,450040186,Stephen King,1977,The Shining,eng,4.17,791850
73,1656001,1656001,3328799,161,316068047,Stephenie Meyer,2008,The Host,en-US,3.84,749780
74,99561,99561,919292,187,142402516,John Green,2005,Looking for Alaska,eng,4.09,783470
75,227443,227443,3185154,193,014028009X,Helen Fielding,1996,,eng,3.75,736498
76,14935,14935,2809709,1969,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894
77,38709,38709,1679789,138,439244196,"Louis Sachar, Louis Sachar",1998,Holes,eng,3.93,747445
78,5139,5139,38765,129,307275558,Lauren Weisberger,2003,The Devil Wears Prada,eng,3.7,665930
79,1381,1381,3356006,1703,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,eng,3.73,670326
80,157993,157993,2180358,1708,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,eng,4.28,738757
81,7445,7445,2944133,92,074324754X,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099
82,1845,1845,3284484,108,385486804,Jon Krakauer,1996,Into the Wild,eng,3.94,647684
83,1953,1953,2956372,525,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412
84,7677,6424171,3376836,176,030734813X,Michael Crichton,1990,Jurassic Park,spa,3.96,447833
85,370493,370493,30530,81,60256656,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332
86,32542,32542,1804929,158,385338600,John Grisham,1989,A Time to Kill,eng,4.03,597775
87,1617,1617,265616,109,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng,4.3,691231
88,6442769,6442769,3364505,178,014241493X,John Green,2008,Paper Towns,en-US,3.88,461311
89,21787,21787,992628,129,345418263,William Goldman,1973,The Princess Bride,en-US,4.25,628637
90,231804,231804,1426690,156,014038572X,S.E. Hinton,1967,The Outsiders,en-US,4.06,659248
91,6186357,6186357,6366642,147,385737947,James Dashner,2009,The Maze Runner,eng,4.02,719925
92,1202,1202,5397,124,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93,524191
93,2998,2998,3186437,1350,517189607,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357
94,320,320,3295655,555,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng,4.04,490565
95,5297,5297,1858012,2303,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014
96,13536860,13536860,18034963,133,345803507,E.L. James,2012,Fifty Shades Freed,eng,3.88,387290
97,17245,17245,3165724,2207,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973
98,5060378,5060378,6976108,209,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng,4.22,563994
99,11857408,11857408,16813814,147,1612130585,E.L. James,2011,Fifty Shades Darker,eng,3.87,552059
100,7244,7244,810663,39,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502
101,4137,4137,1030767,59,349113912,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736
102,19543,19543,3020535,110,99408392,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618
103,7126,7126,391568,1310,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,eng,4.21,555822
104,6288,6288,3355573,181,307265439,Cormac McCarthy,2006,The Road,eng,3.95,504793
105,18710190,18710190,15524549,153,7524277,Veronica Roth,2013,Allegiant,eng,3.63,463257
106,9418327,9418327,14302659,48,,Tina Fey,2011,Bossypants,eng,3.94,506250
107,3473,3473,3143497,131,446693804,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948
108,9416,9416,3237433,144,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,3.61,543658
109,24280,24280,3208463,1319,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407
110,10572,10572,3272005,202,553381695,George R.R. Martin,1998,A Clash of Kings,eng,4.4,523303
111,10441,10441,2868431,98,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430
112,15507958,15507958,17763198,168,670026603,Jojo Moyes,2012,Me Before You,eng,4.27,587647
113,168668,168668,814330,251,684833395,Joseph Heller,1961,Catch-22,en-US,3.98,563265
114,6900,6900,1995335,172,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518
115,2187,2187,1352495,125,312422156,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243
116,24583,24583,41326609,2448,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359
117,18131,18131,948387,165,440498058,Madeleine L'Engle,1962,A Wrinkle in Time,en-US,4.04,615907
118,7763,7763,1955658,126,143038095,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090
119,38447,38447,1119185,236,038549081X,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889
120,452306,452306,1058370,93,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,eng,3.75,525706
121,7604,7604,1268631,370,,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,469836
122,37442,37442,1479280,80,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,506900
123,5358,5358,38270,11,582418275,John Grisham,1991,The Firm,eng,3.99,488269
124,7937843,7937843,9585076,151,316098337,Emma Donoghue,2010,Room,eng,4.03,511360
125,1420,1420,1885548,1929,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,4,515820
126,234225,234225,3634639,241,340839937,Frank Herbert,1965,Dune,eng,4.19,485032
127,2612,2612,2124255,100,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504
128,11084145,11084145,16005831,190,1451648537,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715
129,332613,332613,2100252,275,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642
130,2165,2165,69741,666,684830493,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630
131,4395,18114322,2931549,381,142000663,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321
132,3431,3431,2561472,123,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,,3.9,449501
133,8127,8127,3464264,1314,451528824,L.M. Montgomery,1908,Anne of Green Gables,eng,4.23,502247
134,3777732,3777732,3443248,122,1416914307,Cassandra Clare,2009,City of Glass,en-US,4.34,593173
135,62291,62291,1164465,175,055357342X,George R.R. Martin,2000,A Storm of Swords,eng,4.54,469022
136,137791,137791,1010054,75,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676
137,10964,10964,2489796,189,440242940,Diana Gabaldon,1991,Outlander,eng,4.2,515547
138,12296,12296,4925227,1579,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,509883
139,9460487,9460487,14345371,155,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,en-US,3.89,613674
140,6892870,6892870,12883496,193,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,en-US,4.2,443951
141,18007564,18007564,21825181,148,804139024,Andy Weir,2012,The Martian,eng,4.39,423344
142,5043,5043,3359698,255,451207149,Ken Follett,1989,The Pillars of the Earth,eng,4.29,462517
143,18143977,18143977,25491300,139,1476746583,Anthony Doerr,2014,,eng,4.31,470001
144,8664353,8664353,12946965,16,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775
145,976,976,3135896,180,671027387,Dan Brown,2001,Deception Point,eng,3.67,455610
146,17333223,17333223,24065147,108,316055433,Donna Tartt,2013,The Goldfinch,eng,3.87,396756
147,1217100,29844228,2588213,150,1595141715,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783
148,2865,2865,3358875,169,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577
149,4374400,4374400,4422413,130,525421033,Gayle Forman,2009,If I Stay,en-US,3.96,503527
150,4989,4989,1041558,80,312353766,Anita Diamant,1997,The Red Tent,en-US,4.16,424981
151,28186,28186,43554,121,786856866,Rick Riordan,2006,The Sea of Monsters,eng,4.23,514932
152,5526,5526,3222389,111,446528056,Nicholas Sparks,2006,Dear John,en-US,4.01,441062
153,1582996,1582996,1575860,125,1416914293,Cassandra Clare,2008,City of Ashes,eng,4.21,541117
154,8852,8852,1896522,1732,743477103,William Shakespeare,1606,The Tragedy of Macbeth,eng,3.88,496018
155,15241,15241,2963845,453,618346260,J.R.R. Tolkien,1954,The Two Towers,en-US,4.42,480446
156,42156,42156,1789440,65,031232118X,Emily Giffin,2004,Something Borrowed,eng,3.83,403601
157,23772,23772,86934,72,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,457475
158,6310,6310,2765786,338,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,eng,4.1,453959
159,2120932,2120932,2377629,92,1423101464,Rick Riordan,2008,The Battle of the Labyrinth,eng,4.39,508214
160,2623,2623,2612809,1725,192833596,Charles Dickens,1860,Great Expectations,eng,3.75,459247
161,18512,18512,2964424,470,345339738,J.R.R. Tolkien,1955,The Return of the King,en-US,4.51,463959
162,49552,49552,3324344,675,,"Albert Camus, Matthew    Ward",1942,L’Étranger,eng,3.96,420600
163,7736182,7736182,10107891,72,142311339X,Rick Riordan,2010,The Lost Hero,eng,4.35,271576
164,15745753,15745753,17225055,103,1250012570,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,514312
165,13497,13497,1019062,176,055358202X,George R.R. Martin,2005,A Feast for Crows,en-US,4.1,428186
166,7735333,7735333,9631645,84,525423648,Ally Condie,2010,Matched,eng,3.68,511815
167,4407,30165203,1970226,196,747263744,Neil Gaiman,2001,American Gods,eng,4.11,378019
168,149267,149267,1742269,195,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,438832
169,6400090,6400090,6588800,95,446547565,Nicholas Sparks,2008,The Last Song,en-GB,4.14,424637
170,11125,11125,40195,185,552151696,Dan Brown,1998,Digital Fortress,en-GB,3.6,423019
171,6969,6969,3360164,1710,141439580,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,459826
172,15823480,15823480,2507928,1492,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,eng,4.02,297472
173,227463,227463,23596,283,393312836,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,431195
174,1812457,1812457,2666268,134,964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,eng,3.74,419539
175,4502507,4556058,4551489,87,739380338,Rick Riordan,2009,The Last Olympian,eng,4.5,397500
176,18342,830502,150259,7,451169514,Stephen King,1986,It,en-US,4.18,292592
177,7144,7144,3393917,1714,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,eng,4.18,380903
178,6514,6514,1385044,246,61148512,Sylvia Plath,1963,The Bell Jar,en-US,3.98,401605
179,252577,252577,2883783,184,7205236,Frank McCourt,1996,Angela's Ashes: A Memoir,eng,4.07,392103
180,52036,52036,4840290,972,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,372099
181,168642,168642,1940709,223,679745580,Truman Capote,1965,In Cold Blood,eng,4.05,381652
182,6304335,6304335,6488966,119,316042676,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,eng,3.76,436093
183,7171637,7171637,6674837,103,1416975861,Cassandra Clare,2010,Clockwork Angel,eng,4.33,490890
184,39988,39988,1015554,242,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,440743
185,9361589,9361589,14245059,119,385534639,Erin Morgenstern,2011,The Night Circus,eng,4.03,429543
186,37470,37470,3248536,111,743227441,Philippa Gregory,2001,The Other Boleyn Girl,eng,4.04,381080
187,24770,24770,2895388,98,689865384,Scott Westerfeld,2005,Uglies,eng,3.86,449073
188,10664113,10664113,2936175,115,,George R.R. Martin,2011,A Dance with Dragons,eng,4.31,365954
189,33,33,3462456,380,618640150,J.R.R. Tolkien,1955,The Lord of the Rings,eng,4.47,389054
190,12262741,12262741,17237712,101,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,eng,3.96,379872
191,472331,472331,4358649,90,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,4.35,398018
192,186074,186074,2502879,123,075640407X,Patrick Rothfuss,2007,The Name of the Wind,eng,4.55,400101
193,3228917,3228917,3364437,120,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,4.11,353011
194,153747,153747,2409320,1823,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale",eng,3.46,358050
195,2728527,2728527,2754161,116,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626
196,5759,5759,68729,162,393327345,Chuck Palahniuk,1996,Fight Club,eng,4.2,365349
197,301082,301082,479517,109,441008534,Charlaine Harris,2001,Dead Until Dark,en-US,3.96,420764
198,11486,11486,3300573,155,671727796,Alice Walker,1982,The Color Purple,eng,4.17,376766
199,12691,12691,14961,119,739461192,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,eng,4.12,367304
200,16299,16299,3038872,474,312330871,Agatha Christie,1939,Ten Little Niggers,eng,4.23,408983
201,6411961,6411961,6600281,208,385504225,Dan Brown,2009,The Lost Symbol,eng,3.66,369428
202,6339664,6339664,6525609,91,1416989412,Becca Fitzpatrick,2009,"Hush, Hush",en-US,4,448166
203,11505797,11505797,16441531,85,,Jamie McGuire,2011,Beautiful Disaster,eng,4.15,418309
204,5326,5326,3097440,2380,1561797464,Charles Dickens,1843,A Christmas Carol,,4.02,394540
205,43763,43763,873132,189,345476875,Anne Rice,1976,Interview with the Vampire,eng,3.97,372566
206,10507293,10507293,15413183,93,62059939,Kiera Cass,2012,The Selection,en-US,4.15,505340
207,6853,6853,1486401,109,312362080,Janet Evanovich,1994,One for the Money,en-US,4.03,391007
208,6493208,6493208,6684634,66,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4.04,377249
209,23807,23807,22533,187,99446782,Thomas Harris,1988,The Silence of the Lambs,eng,4.14,351107
210,345627,345627,335933,132,159514174X,Richelle Mead,2007,,en-US,4.14,248283
211,40102,40102,1180927,116,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,en-US,3.89,348196
212,6867,6867,2307233,155,038572179X,Ian McEwan,2001,Atonement,eng,3.88,347006
213,485894,485894,2373750,1316,553213695,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,eng,3.78,364933
214,561456,561456,2936530,94,141382899,Rick Riordan,2007,The Titan's Curse,eng,4.33,446668
215,9969571,9969571,14863741,112,030788743X,Ernest Cline,2011,,eng,4.31,349423
216,3153910,3153910,3175590,90,1554681723,Garth Stein,2006,The Art of Racing in the Rain,eng,4.19,327409
217,21996,21996,3486041,70,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",eng,3.98,309385
218,13572249,20448515,18973111,96,425263908,Sylvia Day,2012,Bared to You,eng,4.19,222678
219,11127,11127,781271,270,66238501,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,eng,4.24,376385
220,3609760,3609760,3652511,20,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,en-US,4.23,291411
221,60748,60748,59104,74,1558743669,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive",eng,4.08,311543
222,7869,7869,859111,143,752864327,Robert Ludlum,1980,The Bourne Identity,eng,3.98,327122
223,249747,249747,1334778,163,786817879,Eoin Colfer,2001,Artemis Fowl,eng,3.82,386923
224,6487308,6487308,6678670,97,385738935,Lauren Kate,2009,Fallen,en-US,3.74,395296
225,4406,4406,2574991,81,142000655,John Steinbeck,1952,East of Eden  ,eng,4.35,320919
226,5886881,5886881,6873353,131,307341569,Gillian Flynn,2009,Dark Places,eng,3.92,333452
227,5359,5359,137715,134,385339089,John Grisham,1993,The Client,eng,3.97,320083
228,228333,228333,221139,84,312291639,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,eng,3.4,323762
229,24213,24213,2375385,845,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,eng,4.06,340920
230,2156,2156,2534720,1451,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,eng,4.13,365425
231,556602,556602,2523229,117,312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,eng,4.14,312444
232,43615,43615,46575,213,452284694,Stephen King,1982,The Gunslinger,en-US,3.99,332494
233,9712,9712,3285349,347,140003468X,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,eng,3.89,283806
234,439288,439288,118521,87,014131088X,Laurie Halse Anderson,1999,Speak,eng,4,360156
235,17802724,17802724,23986788,95,399159347,Liane Moriarty,2013,The Husband's Secret ,eng,3.92,232106
236,1898,1898,1816662,101,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,en-US,4.11,291258
237,10592,10592,1552134,249,1416524304,Stephen King,1974,Carrie,,3.93,356814
238,242006,242006,828773,79,031242227X,Augusten Burroughs,2002,Running with Scissors,en-US,3.7,293878
239,8908,8908,817,137,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War,en-US,4.01,312969
240,17212231,17212231,23841765,235,385537859,Dan Brown,2013,Inferno,eng,3.8,287533
241,47281,47281,2677305,81,440227534,Lois Lowry,1989,Number the Stars,eng,4.11,333638
242,13145,13145,3373984,122,446692638,James Patterson,1993,Along Came a Spider,eng,4.08,311499
243,10614,10614,3230869,197,450417395,Stephen King,1987,Misery,en-GB,4.11,334647
244,66559,18045891,3801,136,307341542,Gillian Flynn,2006,Sharp Objects,en-US,3.92,207889
245,2839,2839,2237401,125,439366771,Katherine Paterson,1977,Bridge to Terabithia,eng,3.98,337644
246,30183,30183,30573,97,312360266,"P.C. Cast, Kristin Cast",2007,Marked,en-US,3.79,360044
247,36072,36072,6277,250,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,en-US,4.05,314700
248,1622,1622,894834,1379,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,eng,3.94,334241
249,4588,4588,1940137,104,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,en-US,3.97,294726
250,11387515,11387515,16319487,124,375869026,R.J. Palacio,2012,Wonder,eng,4.43,228538
251,233093,233093,267087,99,039480001X,Dr. Seuss,1957,The Cat in the Hat,eng,4.15,314016
252,11235712,11235712,15545385,92,312641893,Marissa Meyer,2012,Cinder,eng,4.15,427663
253,16160797,16160797,22002305,48,316206849,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,en-US,3.83,297712
254,6068551,6068551,6244926,96,545123267,Maggie Stiefvater,2009,Shiver,eng,3.78,356625
